紀錄時間,股票代碼,股票名稱,即時股價
2026-05-29 15:32:07,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:32:22,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:32:37,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:32:51,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:33:07,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:33:22,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:33:37,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:33:52,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:34:06,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:34:22,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:34:37,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:34:52,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:35:07,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:35:22,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:35:37,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:35:55,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:36:00,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:36:15,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:36:30,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:36:45,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:37:00,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:37:15,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:37:30,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:37:45,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:38:00,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:38:15,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:38:30,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:38:45,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:39:00,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:39:15,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:39:30,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:40:40,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:40:45,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:41:00,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:41:15,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:41:30,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:41:45,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:42:00,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-05-29 15:42:15,2330,台積電,"2,355 元",▲ 60.00,"86,055 張"
2026-06-01 14:29:43,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:29:48,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:29:53,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:29:56,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:29:58,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:30:03,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:30:03,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:30:04,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:30:04,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:30:19,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:30:19,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:30:19,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:30:19,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:30:35,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:30:35,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:30:35,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:30:35,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:30:49,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:30:49,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:30:49,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:30:49,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:31:03,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:31:04,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
