序號,淨值日期,基金淨值
188,2026/03/10,$160.2300 元
189,2026/03/11,$172.8500 元
190,2026/03/12,$167.8400 元
191,2026/03/13,$165.7600 元
192,2026/03/16,$165.3100 元
193,2026/03/17,$170.6100 元
194,2026/03/18,$177.0700 元
195,2026/03/19,$166.8600 元
196,2026/03/20,$166.8600 元
197,2026/03/23,$156.8800 元
198,2026/03/24,$159.0300 元
199,2026/03/25,$167.2000 元
200,2026/03/26,$165.3700 元
201,2026/03/27,$162.2500 元
202,2026/03/30,$155.9000 元
203,2026/03/31,$150.8300 元
204,2026/04/01,$164.3900 元
205,2026/04/02,$155.6800 元
206,2026/04/07,$162.1600 元
207,2026/04/08,$180.1500 元
208,2026/04/09,$179.1900 元
209,2026/04/10,$185.8000 元
210,2026/04/13,$184.5900 元
211,2026/04/14,$194.9600 元
212,2026/04/15,$198.5700 元
213,2026/04/16,$205.6900 元
214,2026/04/17,$199.4800 元
215,2026/04/20,$201.2800 元
216,2026/04/21,$210.0600 元
217,2026/04/22,$211.9300 元
218,2026/04/23,$207.8800 元
219,2026/04/24,$222.9900 元
220,2026/04/27,$230.9400 元
221,2026/04/28,$228.7500 元
222,2026/04/29,$225.8300 元
223,2026/04/30,$224.2700 元
224,2026/05/04,$243.8700 元
225,2026/05/05,$243.6100 元
226,2026/05/06,$249.3300 元
227,2026/05/07,$259.4000 元
228,2026/05/08,$254.2500 元
229,2026/05/11,$254.7100 元
230,2026/05/12,$251.4900 元
231,2026/05/13,$248.3900 元
232,2026/05/14,$250.6500 元
233,2026/05/15,$243.0500 元
234,2026/05/18,$240.4600 元
235,2026/05/19,$233.8100 元
236,2026/05/20,$230.6300 元
237,2026/05/21,$246.4800 元
238,2026/05/22,$257.8000 元
239,2026/05/25,$275.0600 元
240,2026/05/26,$275.0000 元
241,2026/05/27,$286.6700 元
242,2026/05/28,$274.4700 元
243,2026/05/29,$292.9500 元
